type	latitude	longitude	altitude (ft)	eos	name
T	25.824390000	-80.131380000	0.3		
T	25.818608000	-80.185025000	5.1		
T	25.809773000	-80.133158000	0.3		
T	25.818856000	-80.132844000	2.7		
T	25.848091000	-80.130220000	3.3		
T	25.818941000	-80.136644000	0.5		
T	25.819138000	-80.133993000	2.3		
T	25.824867000	-80.130817000	1.2		
T	25.837833000	-80.123471000	2.8		
T	25.853981000	-80.171766000	0.3		
T	25.824365000	-80.125587000	3.7		
T	25.819139000	-80.186382000	6.8		
T	25.817770000	-80.131703000	0.3		
T	25.819479000	-80.129418000	0.5		
T	25.854126000	-80.145039000	0.3		
T	25.840683000	-80.130278000	2.5		
T	25.809213000	-80.126701000	3.6		
T	25.835105000	-80.125152000	3.3		
T	25.861110000	-80.135098000	0.3		
T	25.843488000	-80.125131000	2.1		
T	25.831928000	-80.124639000	2.7		
T	25.818796000	-80.131320000	0.6		
T	25.811185000	-80.128037000	3.5		
T	25.843311000	-80.123987000	0.4		
T	25.817909000	-80.185073000	5.8		
T	25.857970000	-80.144739000	0.3		
T	25.846546000	-80.176585000	0.4		
T	25.843755000	-80.124076000	0.8		
T	25.810394000	-80.132871000	0.3		
T	25.820544000	-80.181338000	0.3		
T	25.830507000	-80.124727000	2.8		
T	25.844059000	-80.158415000	0.3		
T	25.849557000	-80.136864000	0.3		
T	25.837172000	-80.131585000	1.0		
T	25.820362000	-80.182186000	0.3		
T	25.821655000	-80.136729000	0.3		
T	25.819271000	-80.136450000	0.4		
T	25.850132000	-80.135252000	0.3		
T	25.852025000	-80.132293000	0.3		
T	25.835171000	-80.130276000	1.0		
T	25.860887000	-80.140379000	0.3		
T	25.835561000	-80.124119000	2.6		
T	25.828777000	-80.129564000	2.3		
T	25.851208000	-80.133435000	0.3		
T	25.809016000	-80.129604000	2.6		
T	25.860261000	-80.142257000	0.2		
T	25.845004000	-80.177007000	0.3		
T	25.857890000	-80.175525000	3.7		
T	25.808761000	-80.126065000	3.6		
T	25.811430000	-80.126301000	3.3		
T	25.862089000	-80.175639000	7.1		
T	25.860985000	-80.139917000	0.3		
T	25.844698000	-80.127576000	0.6		
T	25.818109000	-80.131548000	0.3		
T	25.819100000	-80.136520000	0.3		
T	25.835587000	-80.124500000	2.9		
T	25.849348000	-80.139848000	0.3		
T	25.843549000	-80.124025000	0.5		
T	25.815910000	-80.185119000	5.5		
T	25.829882000	-80.182965000	7.0		
T	25.844622000	-80.150834000	0.3		
T	25.842630000	-80.129561000	0.4		
T	25.814396000	-80.186985000	7.5		
T	25.814633000	-80.188576000	9.5		
T	25.814460000	-80.186432000	6.6		
T	25.810797000	-80.128218000	3.5		
T	25.861638000	-80.129568000	0.5		
T	25.860798000	-80.140821000	0.3		
T	25.857042000	-80.171332000	0.3		
T	25.820291000	-80.181556000	0.3		
T	25.845864000	-80.126556000	0.3		
T	25.842057000	-80.123150000	0.7		
T	25.830573000	-80.129405000	1.2		
T	25.832106000	-80.124617000	3.0		
T	25.811707000	-80.127518000	3.6		
T	25.838429000	-80.131930000	0.8		
T	25.841415000	-80.129497000	2.0		
T	25.844293000	-80.154382000	0.3		
T	25.816496000	-80.186104000	7.5		
T	25.817938000	-80.186944000	8.4		
T	25.837720000	-80.124147000	2.4		
T	25.826149000	-80.127832000	3.8		
T	25.817948000	-80.130629000	0.3		
T	25.828707000	-80.131048000	0.3		
T	25.839379000	-80.131898000	0.7		
T	25.851530000	-80.133059000	0.5		
T	25.824191000	-80.135321000	0.3		
T	25.826167000	-80.183918000	7.7		
T	25.820683000	-80.136733000	0.3		
T	25.821592000	-80.127166000	2.2		
T	25.815647000	-80.132704000	0.3		
T	25.809828000	-80.130688000	1.3		
T	25.844743000	-80.178370000	0.3		
T	25.839120000	-80.124339000	3.1		
T	25.817441000	-80.184815000	5.5		
T	25.843607000	-80.175632000	0.3		
T	25.820244000	-80.186316000	6.7		
T	25.860521000	-80.131025000	0.6		
T	25.840742000	-80.125773000	3.2		
T	25.809978000	-80.126447000	3.5		
T	25.843081000	-80.123267000	0.8		
T	25.846073000	-80.157315000	0.3		
T	25.814378000	-80.187266000	7.9		
T	25.820069000	-80.181640000	0.3		
T	25.842808000	-80.123156000	0.7		
T	25.844290000	-80.154586000	0.3		
T	25.827663000	-80.126223000	4.0		
T	25.842715000	-80.123743000	0.3		
T	25.826160000	-80.127530000	3.8		
T	25.814937000	-80.187181000	8.6		
T	25.861143000	-80.136053000	0.3		
T	25.810444000	-80.127738000	3.6		
T	25.839860000	-80.125520000	3.1		
T	25.820918000	-80.129880000	0.3		
T	25.811754000	-80.132259000	0.3		
T	25.816151000	-80.128209000	2.3		
T	25.851049000	-80.172242000	0.3		
T	25.814369000	-80.187544000	8.2		
T	25.837060000	-80.124102000	2.4		
T	25.819698000	-80.135093000	1.4		
T	25.821343000	-80.136475000	0.3		
T	25.809213000	-80.126701000	3.6		
T	25.821455000	-80.135472000	0.6		
T	25.815518000	-80.127041000	3.0		
T	25.830740000	-80.183729000	8.8		
T	25.817220000	-80.184184000	4.8		
T	25.833954000	-80.124307000	4.3		
T	25.817510000	-80.137698000	0.4		
T	25.856801000	-80.134366000	0.5		
T	25.833272000	-80.128468000	3.0		
T	25.833619000	-80.125390000	4.4		
T	25.839120000	-80.124339000	3.1		
T	25.813153000	-80.191714000	13.9		
T	25.840934000	-80.130914000	1.4		
T	25.844374000	-80.151271000	0.3		
T	25.822029000	-80.132762000	2.0		
T	25.816781000	-80.184900000	5.6		
