,Event Description,Year,Date Event Began,Time Event Began,Date of Restoration,Time of Restoration,Respondent,Geographic Areas,NERC Region,Demand Loss (MW),Number of Customers Affected,Tags
98,Vandalism,2014,1/22/2014,9:45 AM,1/22/2014,8:19 PM,Duke Energy Midwest,Ohio,RFC,Unknown,Unknown,"vandalism, physical"
99,Vandalism,2014,1/22/2014,1:55 PM,1/22/2014,2:55 PM,Madison Gas and Electric,Wisconsin,MRO,Unknown,Unknown,"vandalism, physical"
100,Suspected Physical Attack,2014,1/22/2014,9:15 PM,1/23/2014,3:08 AM,Public Service Electric &Gas,"Burlington County, New Jersey",RFC,Unknown,Unknown,"vandalism, physical"
101,Vandalism,2014,1/22/2014,12:30 AM,1/22/2014,2:45 AM,Madison Gas and Electric,Wisconsin,MRO,Unknown,Unknown,"vandalism, physical"
102,Vandalism,2014,1/21/2014,5:00 PM,Unknown,Unknown,Public Service Electric &Gas,New Jersey,RFC,Unknown,Unknown,"vandalism, physical"
103,Vandalism,2014,1/21/2014,12:14 PM,1/21/2014,12:39 PM,Ameren Missouri,Missouri,SERC,10,Unknown,"vandalism, physical"
104,Electrical System Islanding,2014,1/18/2014,5:39 PM,Unknown,Unknown,First Energy Solutions Corp.,Unknown,RFC,Unknown,Unknown,islanding
105,Public Appeal to Reduce Electricity Usage,2014,1/18/2014,9:00 AM,1/18/2014,9:45 AM,ERCOT,Texas,TRE,Unknown,Unknown,public appeal
106,Suspected Physical Attack,2014,1/17/2014,12:20 PM,1/17/2014,12:20 PM,Dayton Power & Light Co,Ohio,RFC,Unknown,Unknown,"vandalism, physical"
107,Vandalism,2014,1/16/2014,12:30 PM,1/16/2014,1:57 PM,Arizona Public Service Co,Arizona,WECC,,,"vandalism, physical"
108,Vandalism,2014,1/15/2014,2:32 PM,1/15/2014,2:45 PM,PacifiCorp,Utah,WECC,Unknown,Unknown,"vandalism, physical"
109,Vandalism,2014,1/13/2014,4:44 PM,1/13/2014,4:45 PM,Arizona Public Service Co,Arizona,WECC,,,"vandalism, physical"
110,Voltage Reduction; Public Appeal; Load Shed 100+MW due to Severe Weather - Cold,2014,1/8/2014,6:00 AM,1/8/2014,9:00 AM,South Carolina Electric and Gas,South Carolina,SERC,"4,545","677,858","severe weather, cold"
111,Voltage Reduction due to Severe Weather - Cold,2014,1/8/2014,5:00 AM,1/8/2014,6:30 AM,American Electric Power,Unknown,RFC,576,Unknown,"severe weather, cold"
112,Voltage Reduction; Public Appeal; Load Shed 100+MW due to Severe Weather - Cold,2014,1/7/2014,6:00 PM,1/7/2014,11:00 PM,South Carolina Electric and Gas,South Carolina,SERC,"4,853","677,858","severe weather, cold"
113,Public Appeal due to Severe Weather - Cold,2014,1/7/2014,4:15 PM,1/8/2014,1:20 PM,Duke Energy Progress,North Carolina,SERC,Unknown,Unknown,"severe weather, cold"
114,Voltage Reduction; Public Appeal due to Severe Weather - Cold,2014,1/7/2014,7:58 AM,1/7/2014,11:00 AM,Duke Energy Progress,North Carolina,SERC,"14,435",Unknown,"severe weather, cold, public appeal"
